context,question,answer
"标题：北京商报侃股：公募基金将体现出更优的安全性
内容：【北京商报侃股：公募基金将体现出更优的安全性】全球股市波动，A股走势备受关注，此时任何持仓都会面临或多或少的风险，但是公募基金持股不仅分散，而且多为优质蓝筹股和科技成长股，这些公司或有过硬的内销盈利能力，或有创新的高科技资产，在市场出现“黑天鹅”事件时它们都是相对抗跌的品种。故未来一段时间，公募基金的优势会持续凸显。",公募基金的优势体现在哪些方面？,公募基金持股分散，多为优质蓝筹股和科技成长股，这些公司具有过硬的内销盈利能力或创新的高科技资产，在市场出现“黑天鹅”事件时相对抗跌。
"标题：伦锡大跌10%
内容：伦锡大跌10%，报31750美元/吨。",伦锡的价格是多少？,31750美元/吨
"标题：金沃股份：公司产品直接出口美国的销售收入占比小于1%
内容：【金沃股份：公司产品直接出口美国的销售收入占比小于1%】金沃股份(300984)4月7日在互动平台表示，公司产品直接出口美国的销售收入占比小于1%，公司将持续关注政策动向，积极做好风险应对。",金沃股份直接出口美国的销售收入占比是多少？,小于1%。
"标题：两市融资余额减少87.71亿元
内容：【两市融资余额减少87.71亿元】截至4月3日，上交所融资余额报9588.06亿元，较前一交易日减少45.68亿元；深交所融资余额报9277.29亿元，较前一交易日减少42.03亿元；两市合计18865.35亿元，较前一交易日减少87.71亿元。",4月3日两市融资余额总共减少了多少亿元？,87.71亿元
"标题：特朗普顾问谈美股暴跌：只要不卖掉股票 就不会亏钱
内容：【特朗普顾问谈美股暴跌：只要不卖掉股票 就不会亏钱】特朗普的高级贸易顾问纳瓦罗（Peter Navarro）呼吁美国投资者不要陷入恐慌。纳瓦罗4月6日在接受福克斯新闻采访时呼吁美国投资者保持冷静，不要惊慌。他还预测股市最终将迎来“全面复苏”。他还说：“第一条规则，特别是对于小投资者来说，那就是：除非你卖掉了股票，否则你不会亏钱。现在明智的策略是不要惊慌，坚持住。”",特朗普的高级贸易顾问纳瓦罗在谈到美股暴跌时给投资者提出了什么建议？,纳瓦罗建议投资者不要惊慌，坚持住，特别是小投资者不要卖掉股票，因为只有卖出股票才会真正亏钱。他还预测股市最终将迎来“全面复苏”。
"标题：超达装备回应关税影响：持续关注海外市场经营环境变化 目前公司生产经营一切正常
内容：【超达装备回应关税影响：持续关注海外市场经营环境变化 目前公司生产经营一切正常】就关税影响的问题，超达装备4月7日在互动平台表示，公司持续关注海外市场经营环境变化，目前各项业务有序开展，与客户保持密切沟通，对政策变化风险做出积极应对。目前公司生产经营一切正常。",超达装备如何应对关税影响？,超达装备表示持续关注海外市场经营环境变化，与客户保持密切沟通，并对政策变化风险做出积极应对，目前公司生产经营一切正常。
"标题：四维图新：预计公司2025年将实现大幅度减亏
内容：【四维图新：预计公司2025年将实现大幅度减亏】四维图新4月7日在互动平台表示，伴随汽车行业向中高阶智驾加速演进、合资车企智能化转型需求迫切和公司相关产品份额及毛利提升，预计公司2025年将实现大幅度减亏。",四维图新预计在哪一年实现大幅度减亏？,2025年
"标题：港股通标的证券名单发生调整并自2025年04月07日起生效 调入赤峰黄金
内容：深交所公告，港股通标的证券名单发生调整并自2025年04月07日起生效，调入赤峰黄金。",赤峰黄金是什么时候被调入港股通标的证券名单的？,2025年04月07日
"标题：温州宏丰：公司生产经营一切正常 不存在被监管调查的情形
内容：【温州宏丰：公司生产经营一切正常 不存在被监管调查的情形】温州宏丰(300283)4月7日在互动平台表示，公司生产经营一切正常，不存在被监管调查的情形。经核实，余金杰股东所持股份不存在被司法机关处置的情形。",温州宏丰公司是否存在被监管调查的情形？,不存在被监管调查的情形。
"标题：四维图新：在美国硅谷所设联络处规模较小 对公司业务和业绩暂不构成重大影响
内容：【四维图新：在美国硅谷所设联络处规模较小 对公司业务和业绩暂不构成重大影响】四维图新(002405)4月7日在互动平台表示，公司在美国硅谷设有联络处，主要负责接触美国方面的前沿技术。该联络处规模较小，对公司业务和业绩暂不构成重大影响。",四维图新在美国硅谷设立的联络处对其公司业务和业绩是否有重大影响？,目前没有重大影响，因为该联络处规模较小。
"标题：洁美科技：公司没有出口到美国的产品
内容：【洁美科技：公司没有出口到美国的产品】洁美科技4月7日在互动平台表示，公司没有出口到美国的产品。",洁美科技是否有产品出口到美国？,没有。
"标题：海利得：LCP/PEEK材料计划2025年启动客户认证
内容：【海利得：LCP/PEEK材料计划2025年启动客户认证】海利得(002206)在机构调研中就新材料与人形机器人等新兴领域的产品研发布局表示，全资子公司聚领新材料公司专注于高性能高分子材料产业化，现阶段主要服务于消费电子及通讯领域。PPS材料目前发展较快，已实现小规模量产与出货。LCP/PEEK材料计划2025年启动客户认证。",海利得计划在哪一年启动LCP/PEEK材料的客户认证？,2025年。
"标题：深交所：因控股股东减持期间信息披露错误对东方电热下发监管函
内容：【深交所：因控股股东减持期间信息披露错误对东方电热下发监管函】深交所公告，东方电热于2025年4月3日披露的《关于控股股东暨实际控制人股份减持计划实施完毕的公告》中存在股东谭克大宗交易减持期间错误。该错误违反了创业板股票上市规则中的相关规定。公司董事会秘书史经洋未能勤勉尽责，对信息披露错误负有责任。公司董事会及相关责任人被要求充分重视问题，及时整改，杜绝类似问题发生。公司需保证信息披露内容真实、准确、完整，并承担相应责任。",东方电热因何被深交所下发监管函？,因控股股东减持期间信息披露存在错误，具体为股东谭克大宗交易减持期间出现错误，违反了创业板股票上市规则中的相关规定。
"标题：国内商品期货早盘开盘 主力合约大面积飘绿
内容：国内商品期货早盘开盘，主力合约大面积飘绿。跌幅方面，沪银跌停，跌幅10.01%，沪镍跌停，跌幅10.00%，沪锡跌停，跌幅10.00%，燃油跌停，跌幅7.03%，沪铝跌停，跌幅7.02%，沥青跌停，跌幅7.02%，原油跌停，跌幅7.02%，低硫燃油跌停，跌幅7.02%，沪铜跌停，跌幅7.01%，对二甲苯跌停，跌幅7.01%，丁二烯胶跌停，跌幅7.00%，国际铜跌停，跌幅7.00%，PTA跌停，跌幅6.03%，瓶片跌停，跌幅6.03%，短纤跌停，跌幅6.02%，纸浆跌停，跌幅6.01%，20号胶跌停，跌幅6.01%，橡胶跌停，跌幅6.00%，苯乙烯跌停，跌幅5.99%，乙二醇跌停，跌幅5.98%，甲醇跌近7%，欧线集运跌超6%，氧化铝跌近6%，沪锌、沪金跌超5%，沪铅、玻璃、棕榈油跌超4%，PVC、铁矿石跌近4%，塑料、焦煤、烧碱、碳酸锂、不锈钢等跌超3%，焦炭、螺纹钢、尿素、聚丙烯、锰硅等跌超2%，白糖、豆油、热卷、苹果、硅铁等跌近2%，原木、红枣、多晶硅、棉纱跌超1%；涨幅方面，豆一、豆二、豆粕涨超3%，菜粕、LPG涨超2%。",国内商品期货早盘开盘时，哪些主力合约出现了跌停？,沪银、沪镍、沪锡、燃油、沪铝、沥青、原油、低硫燃油、沪铜、对二甲苯、丁二烯胶、国际铜、PTA、瓶片、短纤、纸浆、20号胶、橡胶、苯乙烯
"标题：卫星化学：加征关税对公司短期业绩没有造成冲击
内容：【卫星化学：加征关税对公司短期业绩没有造成冲击】卫星化学(002648)就加征关税问题回应投资者提问表示，公司已制定了几套应对方案，即使加征关税对公司短期业绩没有造成冲击。长期来看也不会对公司业绩造成根本性影响。",加征关税是否对卫星化学的短期业绩造成冲击？,没有造成冲击。
"标题：富时中国A50指数期货开盘跌4.41%
内容：富时中国A50指数期货在上一交易日夜盘收跌2.89%的基础上低开，现跌4.41%。",富时中国A50指数期货开盘跌幅是多少？,4.41%
"标题：台湾证交所加权股价指数开盘下跌9.8%
内容：台湾证交所加权股价指数开盘下跌9.8%至19,212.02点。",台湾证交所加权股价指数开盘下跌了多少百分比？,9.8%
"标题：云南锗业：近几年公司对美国客户出口较少 将密切关注相关关税政策变化
内容：【云南锗业：近几年公司对美国客户出口较少 将密切关注相关关税政策变化】就关税影响的问题，云南锗业4月7日在互动平台表示，近几年公司对美国客户出口较少。公司将密切关注相关政策变化，并与客户保持积极沟通，灵活应对。",云南锗业近几年对美国客户的出口情况如何？,云南锗业近几年对美国客户出口较少。
"标题：元隆雅图：公司与泡泡玛特在一些品牌营销推广项目上开展了业务合作
内容：【元隆雅图：公司与泡泡玛特在一些品牌营销推广项目上开展了业务合作】元隆雅图4月7日在互动平台表示，目前公司与泡泡玛特在一些品牌营销推广项目上开展了业务合作。公司为B端企业客户和C端消费者提供全案营销和IP文创产品及服务，业务触点较多，与IP文创产业链包括IP端、产品端、渠道端在内的多个环节中的企业存在广阔的合作空间，公司也希望与行业内优秀企业一起探索更多合作机会。",元隆雅图和泡泡玛特在哪些业务方面有合作？,元隆雅图与泡泡玛特在一些品牌营销推广项目上开展了业务合作，包括为B端企业客户和C端消费者提供全案营销和IP文创产品及服务。
"标题：台积电在台北市场下跌10%
内容：台积电在台北市场下跌10%。",台积电在台北市场的跌幅是多少？,10%
"标题：新加坡海峡时报指数开盘下跌7.6%
内容：新加坡海峡时报指数开盘下跌7.6%。",新加坡海峡时报指数开盘下跌了多少百分比？,7.6%
"标题：恒帅股份：今年计划加速国内机器人客户拓展
内容：【恒帅股份：今年计划加速国内机器人客户拓展】恒帅股份(300969)在机构调研中表示，机器人业务方面，目前，公司在有针对性地与部分海外客户开展交流。公司基于自身的技术方案，自制了部分样件，已与部分客户完成实物样件交流，但尚需针对客户的特殊要求作定制化匹配。今年计划加速国内客户拓展，摸排主流主机厂策略，但短期内较难在该类业务上形成对收入的直接贡献。",恒帅股份今年计划在哪个领域加速国内客户拓展？,机器人业务领域。
"标题：兴森科技回应关税政策影响：公司美国业务收入占比较低 受影响较小
内容：【兴森科技回应关税政策影响：公司美国业务收入占比较低 受影响较小】兴森科技(002436)4月7日在互动平台回应美国关税政策影响：公司美国业务收入占比较低，受影响较小，目前公司经营情况一切正常。公司会密切关注国际贸易政策的变化及发展，并与客户持续沟通，稳步推进各项业务发展。",兴森科技的美国业务收入占比如何，受美国关税政策影响大吗？,兴森科技的美国业务收入占比较低，因此受美国关税政策影响较小。
"标题：国内大循环主体作用在增强 交通运输市场将是促进国民经济循环畅通的重要基础
内容：【国内大循环主体作用在增强 交通运输市场将是促进国民经济循环畅通的重要基础】随着国际领域贸易保护主义抬头，国内大循环的主体作用在增强。国家发改委此前指出，必须构建以内需为主导的国内大循环。构建新发展格局，必须具备强大的国内经济循环体系和稳固的基本盘。未来一个时期，我国国内市场主导经济循环的特征会更加明显。",国内大循环的主体作用增强与什么因素有关？,国内大循环的主体作用增强与国际领域贸易保护主义抬头有关。
"标题：恒帅股份：公司对美国市场的直销业务比重较小
内容：【恒帅股份：公司对美国市场的直销业务比重较小】恒帅股份(300969)在机构调研中表示，公司始终保持对海外市场关税政策和经济环境变化的持续、密切关注，针对局部市场潜在的贸易风险，积极主动地采取防范和应对措施。公司对美国市场的直销业务比重较小，2024年仅占公司整体业务约2.7%，短期内对公司业务影响有限。同时，公司积极推进全球化战略，在美国、泰国均成功建立生产基地，旨在应对潜在关税风险。",恒帅股份对美国市场的直销业务占比是多少？,恒帅股份对美国市场的直销业务占比约为2.7%。
"标题：康斯特：增税会对公司国际市场的经营成本形成一定压力 但整体影响相对可控
内容：【康斯特：增税会对公司国际市场的经营成本形成一定压力 但整体影响相对可控】康斯特4月7日在互动平台表示，增税会对公司国际市场的经营成本形成一定压力，但依据公司的业绩目标及应对措施，整体影响将相对可控；面对国内以价格为主导的招投标环境，公司采用差异化战略，一是提供软硬结合的智慧化实验室解决方案以保持技术领先，二是根据产品性能调整价格分层梯度以应对不同客户需求，以上两项措施已在公司2024年度的产品利润率、回款、存货周转率等指标有所体现。",康斯特如何看待增税对其国际市场经营成本的影响？,康斯特认为增税会对公司国际市场的经营成本形成一定压力，但整体影响相对可控。
"标题：富士康股价下跌近10%
内容：富士康股价下跌近10%。",富士康股价下跌了多少？,近10%。
"标题：人民币兑美元中间价下调91点
内容：人民币兑美元中间价报7.1980，下调91点。",人民币兑美元中间价今天调整了多少点？,下调了91点。
"标题：玉渊谭天丨关税给美国带来的风暴 才刚刚开始
内容：【玉渊谭天丨关税给美国带来的风暴 才刚刚开始】无论是美国民众的抗议声，还是经济晴雨表的数字波动，再到行业指标的起起落落，这场风暴是由表及里，牵涉到美国经济的方方面面，风暴，才刚刚开始。",美国的关税政策对经济产生了哪些影响？,美国的关税政策引发了经济层面的广泛影响，包括民众抗议、经济指标的数字波动以及行业指标的变化，这些影响深入到美国经济的各个方面，且相关风暴才刚刚开始。
"标题：蓝思科技：通过从战略上拓宽全球业务版图 有效抵御地缘风险
内容：【蓝思科技：通过从战略上拓宽全球业务版图 有效抵御地缘风险】蓝思科技4月7日在互动平台表示，公司在国内外拥有9个研发和生产基地，包括位于越南、泰国、墨西哥的生产基地，以及美国、德国、日本、新加坡等办公驻点。公司通过从战略上拓宽全球业务版图，旨在使自身的制造能力与全球市场动态相契合，满足国际客户在全球范围内的供应链需求，有效抵御地缘风险，以及通过贴近客户提供精密制造生产与服务，为客户优化供应链、物流、人力成本。",蓝思科技如何有效抵御地缘风险？,蓝思科技通过在国内外拥有9个研发和生产基地，包括越南、泰国、墨西哥的生产基地以及美国、德国、日本、新加坡等办公驻点，从战略上拓宽全球业务版图，使制造能力与全球市场动态相契合，满足国际客户在全球范围内的供应链需求，从而有效抵御地缘风险。
"标题：香港恒生指数开盘跌9.28% 恒生科技指数跌11.15%
内容：香港恒生指数开盘跌9.28%。恒生科技指数跌11.15%。药明康德、联想集团等个股跌近15%。阿里巴巴、腾讯等跌超10%。",香港恒生指数开盘跌幅是多少？,9.28%
"标题：中国央行进行935亿元7天期逆回购操作
内容：中国央行进行935亿元7天期逆回购操作，操作利率1.5%。",中国央行进行了多少金额的7天期逆回购操作？,935亿元
"标题：琏升科技拟披露重大事项 股票停牌
内容：【琏升科技拟披露重大事项 股票停牌】深交所4月7日公告，琏升科技拟披露重大事项，根据相关规定，经公司申请，公司股票于2025年4月7日开市起停牌，待公司通过指定媒体披露相关公告后复牌。",琏升科技为什么股票停牌？,因为琏升科技拟披露重大事项，根据相关规定，公司申请股票于2025年4月7日开市起停牌。
"标题：A股开盘：三大指数大幅低开 全市场超5300家个股飘绿
内容：【A股开盘：三大指数大幅低开 全市场超5300家个股飘绿】A股开盘，上证指数低开4.46%，深证成指低开5.96%，创业板指低开6.77%，全市场超5300家个股飘绿。",A股开盘时，上证指数、深证成指和创业板指分别低开多少？,上证指数低开4.46%，深证成指低开5.96%，创业板指低开6.77%。
"标题：农业、转基因板块逆市高开 北大荒涨停
内容：农业、转基因板块逆市高开，北大荒涨停，万向德农、丰乐种业、登海种业、苏垦农发等高开超4%。",哪些股票在农业、转基因板块逆市高开中表现突出？,北大荒涨停，万向德农、丰乐种业、登海种业、苏垦农发等高开超4%。
"标题：竞价看龙头：核电板块兰石重装（8天4板）低开2.72%
内容：【竞价看龙头】市场焦点股江苏新能（9天5板）低开5.72%，核电板块兰石重装（8天4板）低开2.72%，实控人变更的中旗新材（3板）竞价涨停 ，医药股哈三联（3板）高开4.71%，绿电板块立新能源（4天3板）低开5.89%，黄金股西部黄金（5天3板）竞价跌停，外骨骼机器人概念股振江股份（2板）竞价跌停、中超控股（2板）竞价跌停，并购重组的湖南发展（2板）低开1.30%，稀土板块海鸥住工（2板）竞价涨停。",兰石重装在核电板块中的竞价表现如何？,兰石重装低开2.72%。
"标题：消费电子板块延续跌势
内容：消费电子板块延续跌势，歌尔股份、东山精密、鹏鼎控股、赛腾股份、立讯精密、水晶光电、工业富联等多股跌停。",消费电子板块中哪些股票出现了跌停？,歌尔股份、东山精密、鹏鼎控股、赛腾股份、立讯精密、水晶光电、工业富联等多股跌停。
"标题：宁德时代盘中跌超10%
内容：宁德时代盘中跌超10%，成交额超16亿元。",宁德时代盘中跌幅超过多少？,10%
"标题：中国自主量子计算机“本源悟空”全球首次运行十亿级AI微调大模型
内容：【中国自主量子计算机“本源悟空”全球首次运行十亿级AI微调大模型】记者从安徽省量子计算工程研究中心获悉，本源量子、合肥综合性国家科学中心人工智能研究院等机构联合攻关，在中国第三代自主超导量子计算机“本源悟空”真机上，全球首次运行十亿参数AI大模型微调任务。合肥综合性国家科学中心人工智能研究院副研究员陈昭昀表示：“这是量子计算首次‘真机实战’大模型任务，证明现有硬件已能初步支撑大模型微调。”",中国哪款量子计算机首次运行了十亿参数AI大模型微调任务？,中国第三代自主超导量子计算机“本源悟空”。
"标题：商务部定于4月10日下午3时举行新闻发布会
内容：【商务部定于4月10日下午3时举行新闻发布会】商务部定于2025年4月10日(星期四)下午3时举行新闻发布会，新闻发言人介绍近期商务领域重点工作有关情况，并答记者问。",商务部什么时候举行新闻发布会？,2025年4月10日下午3时。
"标题：稀土永磁板块局部异动 九菱科技、西磁科技涨超10%
内容：稀土永磁板块局部异动，九菱科技、西磁科技涨超10%，金力永磁、中国稀土、北方稀土涨超5%。",稀土永磁板块中哪些公司的股票涨幅超过了10%？,九菱科技、西磁科技。
"标题：血制品概念逆势拉升 博晖创新涨超10%
内容：血制品概念逆势拉升，博晖创新涨超10%，博雅生物、卫光生物、天坛生物、派林生物、华兰生物等多股涨超5%。",博晖创新的涨幅是多少？,超过10%。
"标题：创业板指跌超8%
内容：A股三大指数盘中继续走低，上证指数跌幅扩大至5%，深证成指跌6.72%，创业板指跌8.12%。",创业板指的跌幅超过了多少百分比？,8%
"标题：巴西一载有乙醇卡车爆炸 附近27辆汽车起火
内容：【巴西一载有乙醇卡车爆炸 附近27辆汽车起火】当地时间4月6日13时左右，巴西南部圣卡塔琳娜州一条高速公路上，一辆满载乙醇的卡车翻车，随后发生爆炸。爆炸引起的火焰导致附近至少27辆汽车起火，另有5人被烧伤。据救援人员介绍，事故车辆爆炸后引发大火，现场冒出滚滚浓烟。事故发生后，该高速公路双向封闭。",巴西载有乙醇的卡车爆炸导致多少辆汽车起火？,27辆汽车起火。
"标题：富时中国A50指数期货跌超7%
内容：富时中国A50指数期货跌超7%。",富时中国A50指数期货的跌幅是多少？,超过7%。
"标题：创业板指大跌9% 3000只个股跌超9%
内容：【创业板指大跌9% 3000只个股跌超9%】指数持续走弱，创业板指下挫跌逾9%，再度回落至1900点下方，沪指跌5.8%，深成指跌7.64%，沪深京三市近3000股跌超9%。",创业板指下跌了多少百分比？,9%
"标题：光伏产业链集体大跌
内容：光伏产业链集体大跌，上能电气、艾罗能源、阳光电源、锦浪科技、昱能科技等多股跌逾10%。",光伏产业链大跌，哪些股票跌逾10%？,上能电气、艾罗能源、阳光电源、锦浪科技、昱能科技等多股跌逾10%。
"标题：统一大市场概念局部回暖 中创物流、连云港2连板
内容：统一大市场概念局部回暖，中创物流、连云港2连板，飞力达、华光源海、海程邦达、供销大集等跟涨。",中创物流和连云港股票近期表现如何？,中创物流和连云港股票连续两个交易日涨停。
"标题：沪深两市成交额突破5000亿 较上一日此时放量超2300亿
内容：沪深两市成交额突破5000亿，较上一日此时放量超2300亿。",沪深两市成交额突破多少亿？,5000亿。
"标题：香港恒生指数下跌10%
内容：香港恒生指数下跌10%至20,564.41点。",香港恒生指数下跌10%后是多少点？,"20,564.41点"
"标题：凯美特气上演地天板
内容：【凯美特气上演地天板】凯美特气盘中涨停，上演地天板，成交额超12亿元。",凯美特气盘中发生了什么现象？,凯美特气盘中涨停，上演地天板，成交额超12亿元。
"标题：创业板指下挫跌逾10%
内容：创业板指下挫跌逾10%，沪指跌6.59%，深成指跌8.28%，沪深京三市近3500股跌超9%。",创业板指下跌超过了多少百分比？,10%
"标题：截止9:50 超1000只个股跌停
内容：截止9:50，超1000只个股跌停。",股市中跌停的个股数量超过了多少？,超过了1000只。
"标题：交通运输部：上周国家铁路累计运输货物7610.8万吨 环比下降4.95%
内容：【交通运输部：上周国家铁路累计运输货物7610.8万吨 环比下降4.95%】据交通运输部消息，根据国务院物流保通保畅工作领导小组办公室监测汇总数据，3月31日—4月6日，全国货运物流有序运行。",上周国家铁路累计运输货物多少吨？,7610.8万吨。
"标题：今日25年飞天茅台原箱批发参考价微跌 报2160元/瓶
内容：【今日25年飞天茅台原箱批发参考价微跌 报2160元/瓶】今日酒价披露的最新批发参考价显示，4月7日，25年飞天茅台原箱报2160元/瓶，较前一日微跌5元；25年飞天茅台散瓶报2135元/瓶，较前一日跌15元。",25年飞天茅台原箱今天的批发参考价是多少？,2160元/瓶。
"标题：东风集团股份在成都新设乘用车科技公司
内容：【东风集团股份在成都新设乘用车科技公司】企查查APP显示，近日，东风乘用车科技（成都）有限公司成立，法定代表人为余飞，注册资本1亿元，经营范围包含：汽车零配件批发；新能源汽车电附件销售；新能源汽车换电设施销售；新能源汽车生产测试设备销售等。企查查股权穿透显示，该公司由东风集团股份全资持股。",东风乘用车科技（成都）有限公司的法定代表人是谁？,余飞
"标题：三花智控新设智能装备公司 含AI业务
内容：【三花智控新设智能装备公司 含AI业务】企查查APP显示，近日，绍兴三花智能装备有限公司成立，法定代表人为邹江，注册资本1000万元，经营范围包含：新能源汽车电附件销售；人工智能应用软件开发；软件销售；网络技术服务等。企查查股权穿透显示，该公司由三花智控全资持股。",三花智控新成立的智能装备公司注册资本是多少？,1000万元。
"标题：中国央行连续五个月扩大黄金储备
内容：【中国央行连续五个月扩大黄金储备】据央行数据，中国3月末黄金储备7370万盎司，2月末黄金储备为7361万盎司。",中国3月末的黄金储备是多少万盎司？,7370万盎司
"标题：中国央行公布3月末外汇储备3.241万亿美元
内容：中国央行公布3月末外汇储备3.241万亿美元，2月末为3.227万亿美元。",中国3月末的外汇储备是多少？,3.241万亿美元。
"标题：养鸡概念局部异动 晓鸣股份涨超15%
内容：养鸡概念局部异动，晓鸣股份逆势涨超15%，益客食品、湘佳股份、新希望、圣农发展、华英农业等跟涨。",晓鸣股份涨幅超过多少百分比？,15%
"标题：伦铜日内涨幅达2.00% 此前一度跌超6%
内容：伦铜日内涨幅达2.00%，现报8877.00美元/吨，此前一度跌超6%。",伦铜当前的报价是多少？,8877.00美元/吨
"标题：期货多品种开盘跌停 期货公司已提前提示强平风险
内容：【期货多品种开盘跌停 期货公司已提前提示强平风险】财联社记者了解到，多家期货公司从昨日起，已开始发信息提示客户强平风险。有期货公司结算部昨天已提前上班，以电话或者短信方式向客户进行风险提示，主要聚焦在白银、原油、铜等假期外盘大跌品种相应的国内品种的持仓客户。",为什么期货公司提前提示客户强平风险？,因为多家期货公司从昨日起已开始发信息提示客户强平风险，特别是针对白银、原油、铜等假期外盘大跌品种相应的国内品种的持仓客户。
"标题：金龙鱼等成立新公司 含集成电路芯片业务
内容：【金龙鱼等成立新公司 含集成电路芯片业务】企查查APP显示，近日，广州满分丰厨食品科技有限公司成立，法定代表人为邵军华，注册资本2000万元，经营范围包含：食用农产品零售；水产品零售；集成电路芯片设计及服务；企业管理等。企查查股权穿透显示，该公司由金龙鱼等共同持股。",金龙鱼参与成立了哪家新公司？,广州满分丰厨食品科技有限公司
"标题：特朗普最新回应美股崩盘：有时你必须“吃药”来解决问题！
内容：【特朗普最新回应美股崩盘：有时你必须“吃药”来解决问题！】据媒体报道，当地时间周日，美国总统特朗普就股市下跌进行了最新回应。他将引发市场混乱的关税政策比作美国经济的“良药”，并称有时候“吃药”是必须的。他还表示，自己并非故意制造市场抛售。",特朗普将什么政策比作美国经济的“良药”？,关税政策
"标题：南向资金净买入额达70亿港元
内容：截至目前，南向资金净买入额达70亿港元。",南向资金净买入额是多少？,70亿港元
"标题：开源证券：关税反制政策落地 模拟芯片国产化进程有望加速
内容：【开源证券：关税反制政策落地 模拟芯片国产化进程有望加速】开源证券表示，模拟芯片主要是以成熟制程的产品为主，国内供应链相对成熟。同时，国内模拟芯片市场目前由TI、ADI等国际大厂主导，国产替代速度相对缓慢。随着中国开始对成熟制程芯片展开反倾销调查，我国模拟芯片国产替代进程有望加速。当前模拟芯片行业已进入库存调整尾声，周期底部特征逐步明确。",开源证券认为哪些因素可能导致模拟芯片国产化进程加速？,随着中国开始对成熟制程芯片展开反倾销调查，以及关税反制政策的落地，我国模拟芯片国产替代进程有望加速。
"标题：蚂蚁集团在西安成立信息技术公司
内容：【蚂蚁集团在西安成立信息技术公司】天眼查App显示，近日，数字马力（西安）信息技术有限公司成立，法定代表人为卢声晓，注册资本1000万人民币，经营范围含信息系统集成服务、企业管理咨询、社会经济咨询服务、信息咨询服务、软件销售、劳务服务等。股权全景穿透图显示，该公司由数字马力（杭州）信息技术有限公司全资持股，后者由蚂蚁科技集团股份有限公司间接全资持股。",蚂蚁集团在西安成立的公司叫什么名字？,数字马力（西安）信息技术有限公司
"标题：养殖业板块短线拉升 湘佳股份涨停
内容：养殖业板块短线拉升，湘佳股份涨停，金河生物、福成股份此前封板, 晓鸣股份、永顺生物涨超15%，立华股份、神农集团、益生股份、圣农发展、民和股份等跟涨。",湘佳股份涨停对养殖业板块有什么影响？,湘佳股份涨停带动了养殖业板块的短线拉升，金河生物、福成股份此前封板，晓鸣股份、永顺生物涨超15%，立华股份、神农集团、益生股份、圣农发展、民和股份等跟涨。
"标题：高盛：由于经济衰退风险进一步增加 且OPEC+供应可能超过预期 油价预估仍存在下调的风险
内容：高盛表示，由于经济衰退风险进一步增加，且OPEC+供应可能超过预期，油价预估仍存在下调的风险。",高盛为什么认为油价预估存在下调的风险？,因为经济衰退风险进一步增加，且OPEC+供应可能超过预期。
"标题：字节跳动登记即梦AI作品著作权
内容：【字节跳动登记即梦AI作品著作权】天眼查知识产权信息显示，近日，北京字跳网络技术有限公司登记“即梦AI/Dreamina AI”作品著作权，作品类别为美术。该公司成立于2018年10月，法定代表人为李英，注册资本1亿美元，经营范围包括会议服务、企业策划、版权代理等，由抖音集团（香港）有限公司全资持股。公开资料显示，即梦AI是一款为创意爱好者打造的AI表达平台，具有AI图片创作、视频创作、探索创意世界等功能。",字节跳动登记的“即梦AI/Dreamina AI”作品著作权属于哪一类？,美术类
"标题：韩国央行：如有必要将立即实施市场稳定措施
内容：韩国央行表示，密切关注金融和外汇市场，如有必要将立即实施市场稳定措施。",韩国央行是否会立即实施市场稳定措施？,如有必要，韩国央行将立即实施市场稳定措施。
"标题：中信证券：外部扰动期 关注内循环
内容：【中信证券：外部扰动期 关注内循环】中信证券研报表示，美国“对等关税”加征幅度和广度超预期之后，中国对美反制力度明显升级，外循环扰动加大，市场风险偏好下降，建议关注内循环为主、业绩稳健的低位板块和主题，短期聚焦低位消费主题、农业和半导体材料板块。延续3月份以来的主题配置观点，外部扰动加大，外循环受压制，主题方面，建议聚焦业绩确定性或订单确定性强、估值水平相对低位的相关板块和资产。",中信证券建议在外部扰动加大时关注哪些板块？,内循环为主、业绩稳健的低位板块和主题，短期聚焦低位消费主题、农业和半导体材料板块。
"标题：农业、转基因板块盘中继续走高 敦煌种业涨停
内容：农业、转基因板块盘中继续走高，敦煌种业涨停，万向德农此前涨停，秋乐种业涨超20%，神农种业、康农种业涨超17%，丰乐种业、登海种业、农发种业涨超7%。",敦煌种业在哪个板块中涨停？,农业、转基因板块。
"标题：“住手！” 反特朗普政府抗议活动席卷多国
内容：【“住手！” 反特朗普政府抗议活动席卷多国】当地时间4月5日，美国全国各地举行超过1000场“住手！”抗议活动，美国民众表达了对特朗普一系列政策的愤怒，要求特朗普政府“住手”，停止损害美国人民的利益。同日，居住在欧洲多地的美国人也举行了相同主题的示威活动。",特朗普政府的哪些政策引发了美国民众的抗议？,特朗普政府的一系列政策，被指损害美国人民的利益，引发了美国民众的抗议。当地时间4月5日，美国全国各地举行超过1000场“住手！”抗议活动，同时居住在欧洲多地的美国人也举行了相同主题的示威活动。
"标题：国内金饰价4天跌近50元
内容：【国内金饰价4天跌近50元】截止发稿，周生生金饰价格为912元/克，较前一日下跌14元/克，较4月3日高点下跌46元/克；老庙金饰价格为918元/克，较前一日下降13元/克，较3日高点下跌43元/克；周大福金饰价格为918元/克，较前一日下降14元/克，较3日高点下跌44元/克。",周生生金饰价格较前一日下跌了多少？,14元/克
