question,contexts,answer,ground_truth
方正证券的股东中国信达计划减持多少比例的公司股份？,"['标题：方正证券：中国信达拟减持不超过1.00%公司股份\n内容：【方正证券：中国信达拟减持不超过1.00%公司股份】方正证券(601901.SH)公告称，公司股东中国信达因经营需要，计划自本公告发布之日起十五个交易日后的三个月内，以集中竞价方式减持公司股份不超过82,321,014股，约占公司总股本的1.00%。减持期间为2025年4月29日至2025年7月28日。减持股份来源为协议转让取得。', '标题：又要减持了！中国信达第五次计划减持方正证券\n内容：【又要减持了！中国信达第五次计划减持方正证券】4月6日晚间，方正证券发布公告称，中国信达资产管理股份有限公司因经营需要，计划自公告发布之日起15个交易日后的3个月内，即2025年4月29日至2025年7月28日期间，以集中竞价方式减持股份不超过8232.1万股，约占公司总股本的1%。']",中国信达计划减持不超过1.00%的方正证券公司股份。,不超过1.00%公司股份。
本周沪指的涨跌幅是多少？,"['标题：十大机构论市：关税“风暴”落地后 A股回暖、港股休整、美股修复\n内容：【十大机构论市：关税“风暴”落地后 A股回暖、港股休整、美股修复】本周沪指下跌0.40%，深证成指下跌0.75%，创业板指下跌1.12%。下周A股将如何运行？我们汇总了各大机构的最新投资策略，供投资者参考。', '标题：沪指跌逾1% 下跌个股近4800只\n内容：【沪指跌逾1% 下跌个股近4800只】指数持续走弱，沪指下挫跌逾1%，深成指跌1.66%，创业板指跌1.84%。机器人、光伏、化工、纺织服装等方向跌幅居前，沪深京三市下跌个股近4800只。']",本周沪指的涨跌幅为下跌0.40%。,本周沪指下跌0.28%。
京沪高铁累计回购了多少股股份？,"['标题：京沪高铁：已累计回购股份1.81亿股 支付资金总额9.99亿元\n内容：【京沪高铁：已累计回购股份1.81亿股 支付资金总额9.99亿元】京沪高铁(601816.SH)公告称，截至2025年3月31日，公司通过集中竞价方式已累计回购股份1.81亿股，占公司总股本比例约为0.3682%，回购成交的最高价为5.72元/股，最低价为5.20元/股，支付的资金总额为9.99亿元（不含交易费用）。公司回购股份符合相关法律法规的规定和回购股份方案的要求。', '标题：十余家A股上市公司盘后披露金额最高达2亿元及以上的回购或增持计划公告 中国中铁董事长提议最高16亿元回购股份\n内容：【十余家A股上市公司盘后披露金额最高达2亿元及以上的回购或增持计划公告 中国中铁董事长提议最高16亿元回购股份】截至发稿，据财联社不完全统计，盘后包括中国中铁、歌尔股份、润泽科技、卫星化学、盈峰环境、天山铝业、上海电气、三环集团、锡业股份、浪潮信息、新凤鸣、宝钛股份、安徽合力在内的13家A股上市公司盘后披露金额最高达2亿元及以上的回购或增持计划公告。具体来看，中国中铁董事长提议回购8亿元-16亿元公司A股股份并将用于减少注册资本，涉及金额最大；浪潮信息董事长提议回购2亿元-3亿元公司股份，同时浪潮集团拟增持1亿元-2亿元公司股份。小财注：歌尔股份盘后公告控股股东歌尔集团增持计划实施完成，累计耗资约10亿元；紫金矿业公告已完成回购计划，累计耗资约10亿元。']",京沪高铁累计回购了1.81亿股股份。,1.81亿股。
特朗普签署的“对等关税”行政令可能对美国科研造成什么影响？,"['标题：关税政策冲击美国“科学核心基础设施”\n内容：【关税政策冲击美国“科学核心基础设施”】美国总统特朗普日前签署所谓“对等关税”行政令。英国《自然》杂志最新刊文指出，特朗普上任以来采取的多项政策已“深刻改变了美国科学”，新一轮关税政策更将导致美国科研设备和用品价格大幅上涨，对美国科学研究再次造成严重冲击。美国是全球实验室设备和试剂最大的进口和出口方之一。科学界人士表示，美国新一轮关税政策将影响美国“现代科学的核心基础设施”，可能对美国科研造成“持久损害”。', '标题：白宫称特朗普宣布“对等关税”后立即生效 对全球经济有何冲击？\n内容：【白宫称特朗普宣布“对等关税”后立即生效 对全球经济有何冲击？】对外经济贸易大学国家对外开放研究院纪文华对记者表示，“从经济角度来看，推行绝对的对等关税并不一定会带来实际收益。美国如果强行推行‘对等关税’政策，可能不仅无法获得长期利益，反而会加剧全球贸易摩擦，使整个国际贸易体系受到损害，这是各方都需要高度重视的一个问题。”']",特朗普签署的“对等关税”行政令可能导致美国科研设备和用品价格大幅上涨，从而对美国科学研究造成严重冲击。这一政策可能影响美国“现代科学的核心基础设施”，并对美国科研造成“持久损害”。此外，推行“对等关税”政策可能加剧全球贸易摩擦，使国际贸易体系受到损害，进一步间接影响美国科研的发展。,可能导致美国科研设备和用品价格大幅上涨，影响美国“现代科学的核心基础设施”，并对美国科研造成“深刻改变”和“持久损害”。
瑞可达在美国和墨西哥设立工厂的主要目的是什么？,"['标题：瑞可达：美国加征关税会有利于海外工厂本地化生产和销售\n内容：【瑞可达：美国加征关税会有利于海外工厂本地化生产和销售】瑞可达(688800)在互动平台回应关税影响的问题时表示，美国加征关税，会更有利于海外工厂本地化生产和销售，就近服务客户，也更有利于海外业务的进一步拓展。公司会随时关注国际贸易环境，保证公司海外业务的正常运营和发展。公开信息显示，瑞可达在美国和墨西哥设立了工厂，2024年，美国和墨西哥工厂均处于产能逐步上升阶段。', '标题：日产汽车将关闭位于阿根廷的皮卡生产线\n内容：日产汽车将关闭位于阿根廷的皮卡生产线，将侧重于在墨西哥和巴西为拉美市场生产汽车。']",瑞可达在美国和墨西哥设立工厂的主要目的是为了应对美国加征关税的影响，通过海外工厂本地化生产和销售，就近服务客户，从而更有利于海外业务的进一步拓展。同时，公司会随时关注国际贸易环境，保证海外业务的正常运营和发展。2024年，美国和墨西哥工厂均处于产能逐步上升阶段。,瑞可达在美国和墨西哥设立工厂的主要目的是实现海外工厂本地化生产和销售，就近服务客户，并有利于海外业务的进一步拓展。
上海清明假期接待游客人数是多少？,"['标题：上海清明假期接待游客逾700万人次 同比增长5.45%\n内容：【上海清明假期接待游客逾700万人次 同比增长5.45%】记者今日从上海市文旅局获悉，清明假期上海市共接待游客700.27万人次，同比增长5.45%；据统计测算，上海地区含吃、住、行、游、购、娱等全要素旅游消费交易总金额约117.20亿元，同比增长6.40%；上海市宾旅馆平均客房出租率为59%，同比增长6个百分点。另据统计，假期三天，上海市主要旅游景区（点）共接待游客457万人次，同比增长14%。', '标题：华住集团：清明假期旗下酒店累计接待人次近317万，是去年同期的1.2倍\n内容：4月10日，据华住集团数据显示，2025年清明节假期三天，华住旗下酒店累计接待人次近317万，是去年清明节假期的1.2倍。假期首日为入住高峰，当日华住旗下酒店整体入住率约90%，满房酒店约5800家，入住率达95%的酒店约6800家。得益于“清明赏花”的旅游热潮，国内多个小城被相继带火。华住数据显示，二线城市中，宁波市、南昌市、徐州市、温州市的酒店入住率都超过了85%；三线城市中，扬州市、许昌市、咸宁市等城市酒店入住率超88%；四线城市中，辽阳市、萍乡市、普洱市等城市酒店入住率超90%。']",上海清明假期接待游客700.27万人次。,700.27万人次。
美军使用哪种轰炸机对也门胡塞武装进行空袭？,"['标题：美军组成B-2“幽灵”轰炸部队 空袭也门胡塞武装\n内容：【美军组成B-2“幽灵”轰炸部队 空袭也门胡塞武装】也门胡塞武装方面称，当地时间4月5日晚到4月6日凌晨，美军对也门萨达省萨达市西部、卡马兰岛等地进行多次空袭，造成多人死伤。胡塞武装则对美军舰船发动打击。据美国媒体4月4日报道，美军证实，部署在印度洋迪戈加西亚岛军事基地的B-2“幽灵”隐形轰炸机参加了近期对也门胡塞武装的空袭行动。', '标题：胡塞武装三天内击落两架美无人机\n内容：【胡塞武装三天内击落两架美无人机】当地时间3日上午，也门胡塞武装军事发言人叶海亚表示，胡塞武装击落了一架美MQ-9型无人机。这是72小时内胡塞武装击落的第二架同型号无人机，也是胡塞武装击落的第十七架该型号无人机。']",B-2“幽灵”隐形轰炸机。,B-2“幽灵”隐形轰炸机。
丰田计划在什么时候推出多少款电动汽车？,"['标题：丰田计划在2027年前向市场推出15款电动汽车\n内容：【丰田计划在2027年前向市场推出15款电动汽车】丰田计划在2027年前向市场推出15款电动汽车。', '标题：鸿海计划在日本发售多款EV车型\n内容：【鸿海计划在日本发售多款EV车型】鸿海精密工业公司称最晚2027年将在日本发售多款车型。鸿海将与日本车商协作，2026年前后在大洋洲地区开始销售以鸿海小型车“Model B”为基础开发的车型。']",丰田计划在2027年前向市场推出15款电动汽车。,丰田计划在2027年前推出15款电动汽车。
紫金矿业出售了哪个子公司给Minerals 260？,"['标题：收购十多年未能开采 紫金矿业获利数倍出售澳洲金矿\n内容：【收购十多年未能开采 紫金矿业获利数倍出售澳洲金矿】紫金矿业4月7日披露，该公司在澳大利亚的全资子公司诺顿金田（Norton Gold Fields），已完成向矿企Minerals 260（ASX: MI6）出售Bullabulling Gold Pty Ltd 100%股权。交易价格为1.565亿澳元现金、价值约1000万澳元的8333万股MI6股票（占增发后总股本3.87%）。截至4月6日，双方已经完成了交割。', '标题：紫金矿业：对外出售资产完成交割\n内容：【紫金矿业：对外出售资产完成交割】紫金矿业(601899)4月6日晚间公告，2025年1月1日，公司澳大利亚全资子公司Norton Gold Fields Pty Ltd（简称“诺顿金田”）与Minerals 260（澳交所上市公司，股票代码：MI6，主要在澳大利亚西部地区从事矿产资源勘探与评估）签署协议，约定诺顿金田将其全资子公司Bullabulling Gold Pty Ltd 100%股权出售给MI6，交易对价包括现金1.565亿澳元及MI6向诺顿金田零对价增发的价值1000万澳元股票。截至目前，诺顿金田已收到现金1.565亿澳元及价值1000万澳元的8333万股MI6股票（占MI6增发后总股本的3.87%），本次交易已正式完成交割。本次交易符合公司“抓大放小”，剥离对公司整体价值贡献有限资产的战略规划，同时实现了良好的投资回报，有助于诺顿金田资产结构优化和运营效率提升。']",紫金矿业将其在澳大利亚的全资子公司诺顿金田（Norton Gold Fields）旗下的全资子公司Bullabulling Gold Pty Ltd 100%股权出售给了Minerals 260（MI6）。,紫金矿业出售了其全资子公司Bullabulling Gold Pty Ltd给Minerals 260。
2025年清明档新片票房什么时候突破3亿？,"['标题：2025清明档新片票房破3亿\n内容：【2025清明档新片票房破3亿】网络平台数据显示，截至4月6日17时13分，2025年清明档新片（含重映）票房（含点映及预售）突破3亿，影片《我的世界大电影》《向阳·花》《不说话的爱》位列前三。', '标题：清明档期票房（含预售）突破3亿\n内容：截至4月5日20时32分，2025年清明档（4月4日—4月6日）档期票房（含预售）突破3亿。']",截至4月6日17时13分，2025年清明档新片票房（含点映及预售）突破3亿。另外，截至4月5日20时32分，2025年清明档期票房（含预售）也已突破3亿。,截至2025年4月6日17时13分。
上交所第二届上市审核委员会和并购重组审核委员会的组建工作何时启动？,"['标题：上交所公示第二届上市委、重组委委员候选人名单\n内容：【上交所公示第二届上市委、重组委委员候选人名单】上海证券交易所4月6日发布公告，日前，上交所启动了第二届上市审核委员会、第二届并购重组审核委员会组建工作。经相关单位推荐、履行相关程序，形成上市委、重组委委员候选人名单。为强化社会监督，保障上市委、重组委选聘工作公开、公平、公正，现就委员候选人名单予以公示，公示期为5个工作日。', '标题：深交所公示第二届上市委、重组委委员候选人名单\n内容：【深交所公示第二届上市委、重组委委员候选人名单】深圳证券交易所4月6日发布公告，日前，深交所启动了第二届上市审核委员会、第二届并购重组审核委员会组建工作。经相关单位推荐、履行相关程序，形成上市委、重组委委员候选人名单。为强化社会监督，保障上市委、重组委选聘工作公开、公平、公正，现就委员候选人名单予以公示，公示期为5个工作日。']",上交所第二届上市审核委员会和并购重组审核委员会的组建工作是在4月6日启动的。,上交所于4月6日启动了第二届上市审核委员会和第二届并购重组审核委员会的组建工作。
深交所第二届上市审核委员会和并购重组审核委员会的组建工作何时启动？,"['标题：深交所公示第二届上市委、重组委委员候选人名单\n内容：【深交所公示第二届上市委、重组委委员候选人名单】深圳证券交易所4月6日发布公告，日前，深交所启动了第二届上市审核委员会、第二届并购重组审核委员会组建工作。经相关单位推荐、履行相关程序，形成上市委、重组委委员候选人名单。为强化社会监督，保障上市委、重组委选聘工作公开、公平、公正，现就委员候选人名单予以公示，公示期为5个工作日。', '标题：上交所公示第二届上市委、重组委委员候选人名单\n内容：【上交所公示第二届上市委、重组委委员候选人名单】上海证券交易所4月6日发布公告，日前，上交所启动了第二届上市审核委员会、第二届并购重组审核委员会组建工作。经相关单位推荐、履行相关程序，形成上市委、重组委委员候选人名单。为强化社会监督，保障上市委、重组委选聘工作公开、公平、公正，现就委员候选人名单予以公示，公示期为5个工作日。']",深交所第二届上市审核委员会和并购重组审核委员会的组建工作在4月6日启动。,4月6日。
莲花控股2025年第一季度的净利润预计增长范围是多少？,"['标题：莲花控股：第一季度净利润预增103.16%—143.79%\n内容：【莲花控股：第一季度净利润预增103.16%—143.79%】莲花控股(600186)4月6日晚间公告，公司预计2025年第一季度实现归属于上市公司股东的净利润1亿元至1.2亿元，同比增长103.16%至143.79%。报告期内，公司经营发展稳中向好，核心竞争力不断增强。2025年一季度产品销售总量增加，销售收入实现较大增长，销售净利率同比提升。', '标题：利尔化学：预计一季度归母净利润1.45亿元-1.55亿元 同比增长203.08%-223.98%\n内容：【利尔化学：预计一季度归母净利润1.45亿元-1.55亿元 同比增长203.08%-223.98%】利尔化学4月3日公告，预计2025年一季度归母净利润盈利1.45亿元-1.55亿元，同比增长203.08%-223.98%，上年同期盈利4784.18万元。']",莲花控股2025年第一季度的净利润预计增长范围是103.16%至143.79%。,103.16%至143.79%。
哪家IPO企业因销毁证据和拒绝现场检查而受到上交所的纪律处分？,"['标题：销毁证据、拒绝现场检查！这家IPO企业影响恶劣 交易所出手了\n内容：【销毁证据、拒绝现场检查！这家IPO企业影响恶劣 交易所出手了】近日，上交所披露了《关于对想念食品股份有限公司及相关责任人予以纪律处分的决定》。据悉，想念食品（发行人）曾向上交所申请IPO并在主板上市，后撤回发行上市申请文件。', '标题：证监会对浙商证券采取责令改正措施\n内容：【证监会对浙商证券采取责令改正措施】中国证监会发布关于对浙商证券股份有限公司采取责令改正措施的决定，经查，发现公司存在质控现场核查不到位；内控流程不规范、内控意见跟踪落实不到位；保荐工作报告未完整披露质控内核关注的问题。上述情况违反了《证券发行上市保荐业务管理办法》第三十一条、《证券公司投资银行类业务内部控制指引》第五十五条、五十七条、五十九条、八十三条的规定。']",想念食品股份有限公司因销毁证据和拒绝现场检查而受到上交所的纪律处分。这家公司曾向上交所申请IPO并在主板上市，但后来撤回了发行上市申请文件。,想念食品股份有限公司
中国对稀土相关物项加强出口管制的目的是什么？,"['标题：中国有色金属工业协会：对稀土相关物项加强出口管制体现维护国家安全的决心\n内容：【中国有色金属工业协会：对稀土相关物项加强出口管制体现维护国家安全的决心】稀土相关物项具有军民两用属性，中国政府此次充分借鉴国际做法，对稀土有关物项实施出口管制，体现出坚定维护世界和平和安全的决心。从企业过往实践来看，只要不从事损害中国国家主权、安全、发展利益的活动，出口管制不会影响企业的正常经营贸易等活动，更不会影响国际产业链供应链稳定和安全。', '标题：商务部 海关总署公告2025年第18号 公布对部分中重稀土相关物项实施出口管制的决定\n内容：商务部、海关总署公告2025年第18号，公布对部分中重稀土相关物项实施出口管制的决定。']",中国对稀土相关物项加强出口管制的目的是维护国家安全，坚定维护世界和平与安全。稀土相关物项具有军民两用属性，中国政府借鉴国际做法，实施出口管制。只要企业不从事损害中国国家主权、安全、发展利益的活动，出口管制不会影响企业的正常经营贸易活动，也不会影响国际产业链供应链的稳定和安全。,目的是维护国家安全，坚定维护世界和平和安全，同时不影响企业的正常经营贸易和国际产业链供应链的稳定与安全。
在当前经济背景下，选择消费股的四大原则是什么？,"['标题：招商策略：东升西落之内需消费的崛起 对等关税后A股怎么看\n内容：【招商策略：东升西落之内需消费的崛起 对等关税后A股怎么看】目前的消费股选择逻辑有别于十年前地产和基建融资周期驱动经济的时代，具有精神属性的消费、适老龄化消费、政策支持方向消费、小额可选消费是四大选择消费股的原则。在外部不确定加大的背景下，内循环的重要性再度提升，安全的重要性再度提升，因此在这个逻辑下，农产品、军工和自主可控再度迎来机会。最终A股尤其是A股内需消费应该是全球投资在本轮美国关税冲击中最具韧性的资产。', '标题：“新消费”逻辑升温！投资风口转向？\n内容：【“新消费”逻辑升温！投资风口转向？】随着3月中旬政策落地，消费板块获市场密切关注。截至3月31日，今年以来，A股汽车、家用电器、社会服务等消费细分板块以及港股恒生消费指数涨幅居前。基金产品的表现也十分亮眼，多只消费主题基金年内收益超过10%，头部产品的收益超过20%。']",选择消费股的四大原则包括：具有精神属性的消费、适老龄化消费、政策支持方向消费、小额可选消费。,具有精神属性的消费、适老龄化消费、政策支持方向消费、小额可选消费是选择消费股的四大原则。
为什么ST美谷收到湖北证监局的行政处罚事先告知书？,"['标题：非经营性占用资金未披露 ST美谷收湖北证监局行政处罚事先告知书\n内容：【非经营性占用资金未披露 ST美谷收湖北证监局行政处罚事先告知书】ST美谷4月6日晚间公告，公司于4月3日收到湖北证监局下发的《行政处罚事先告知书》。经查明，公司间接控股股东中国奥园非经营性占用公司资金，公司未按规定在相关临时报告中予以披露。', '标题：ST美谷：股票交易异常波动，面临多种风险提示\n内容：金融界4月10日消息，ST美谷发布异动公告，公司股票于2025年4月8日、4月9日和4月10日连续三个交易日收盘价格跌幅偏离值累计超过12%，属于交易异常波动。公司已进入预重整程序，但能否进入重整程序以及重整或预重整成功与否均存在不确定性。公司分别于2025年1月21日和3月22日披露了风险提示公告。控股子公司金环绿纤仍处于停产状态。控股股东奥园科星前期拟处置股份事宜尚无实质性进展。共有40家意向投资人提交重整投资方案，临时管理人正在推进各项预重整工作。此外，公司还面临众多风险，包括因相关案件可能被叠加实施其他风险警示和退市风险警示，部分资产被司法冻结，公司及部分子公司存在重大诉讼事项等。公司不触及重大违法强制退市及其他风险警示情形，但行政处罚最终结果以《行政处罚决定书》为准。']",因为ST美谷的间接控股股东中国奥园存在非经营性占用公司资金的行为，而ST美谷未按规定在相关临时报告中予以披露，因此收到湖北证监局的行政处罚事先告知书。,因为ST美谷的间接控股股东中国奥园非经营性占用公司资金，而公司未按规定在相关临时报告中予以披露。
伊朗对特朗普来信的回应中提到在核问题上的立场是什么？,"['标题：伊朗军方透露回信特朗普的细节内容 “不反对间接谈判”\n内容：【伊朗军方透露回信特朗普的细节内容 “不反对间接谈判”】伊朗武装部队总参谋长巴盖里当地时间4月6日透露伊朗对特朗普来信的回应细节，他表示信中强调伊朗寻求的是地区的和平与安宁。巴盖里透露，在核问题上，伊朗无意制造核武器，只是为了满足本国人民的核能需求。伊朗不会进行直接谈判，但不反对间接谈判，因为伊朗不会封锁道路，会为真诚的对话保留空间。此外，伊朗对特朗普来信的回应中还表示，美国是过去谈判中最不守信、最不可靠的一方，因此伊朗对美国毫无信任。伊朗不是好战国家，但也绝不会屈服于霸权和强权，将坚决抗争。伊朗对任何侵犯伊朗主权与利益的行为都会做出沉重且无法弥补的回击。', '标题：伊朗已通过阿曼向特朗普的信件作出回应\n内容：伊朗外长表示，伊朗已通过阿曼向特朗普的信件作出回应。']",伊朗在回应特朗普来信时明确表示，在核问题上，伊朗无意制造核武器，只是为满足本国人民的核能需求。此外，伊朗强调自身寻求的是地区的和平与安宁，并且不是好战国家，但也不会屈服于霸权和强权。,伊朗无意制造核武器，只是为了满足本国人民的核能需求。
漳州核电2号机组非核蒸汽冲转达到的额定转速是多少？,"['标题：漳州核电2号汽轮发电机组非核蒸汽冲转圆满完成\n内容：【漳州核电2号汽轮发电机组非核蒸汽冲转圆满完成】据中核工程消息，2025年4月6日4时6分，由中核工程总包的漳州核电2号机组首次非核蒸汽冲转升至额定转速1500rpm并稳定运行。6时34分，机组达到盘车转速，盘车自动啮合投入。经主控DCS数据监测与就地设备状态复核，包括轴承振动、瓦温、偏心度等关键参数均达到设计和验收标准，汽轮发电机组非核蒸汽冲转圆满成功。', '标题：华龙一号漳州核电2号机组热试成功\n内容：【华龙一号漳州核电2号机组热试成功】中核集团发布消息，4月8日6时16分，华龙一号批量化建设项目中核集团漳州核电2号机组热态性能试验顺利完成，为后续机组核燃料装载、并网发电等工作奠定了坚实基础。据介绍，漳州核电是华龙一号批量化建设的始发地，也是全球最大华龙一号核电基地，项目规划建设6台华龙一号核电机组，当前1号机组已投入商业运行，2号机组计划今年第四季度投入商业运行，3、4号机组已于2024年开工建设，5、6号机组正在有序推进前期工作。']",漳州核电2号机组非核蒸汽冲转达到的额定转速是1500 rpm。,1500rpm
申万宏源策略对短期市场的建议是什么？,"['标题：申万宏源策略：沧海横流方显英雄本色\n内容：【申万宏源策略：沧海横流方显英雄本色】短期市场先防范好冲击：特朗普对等关税极限施压后，市场可能要先出清基本面回落的担忧。全球衰退交易可能快速扩散，25Q2“债强股弱”的资产配置组合本就是基准判断，短期可能集中加速演绎。市场调整时间/空间先达标，之后就可以考虑后续变化对市场的影响了。', '标题：申万宏源：中国资产再次回到具备良好性价比的估值位置\n内容：【申万宏源：中国资产再次回到具备良好性价比的估值位置】申万宏源策略团队最新研报表示，A股市场短期调整主要反映了特朗普关税冲击带来的基本面负面预期，在市场大幅调整之际，中国资产再次回到相对全球具备良好性价比的估值位置。市场可能迎来一个重要的中长期周期低点，继续看好后续港股回调后的中期投资机会，以及A股产业趋势和低估反转行业轮动的机会。']",申万宏源策略建议短期市场需要先防范冲击。由于特朗普对等关税极限施压，市场可能需要先出清基本面回落的担忧。全球衰退交易可能快速扩散，在这种情况下，“债强股弱”的资产配置组合是基准判断，短期可能会集中加速演绎。当市场调整的时间和空间达标后，就可以考虑后续变化对市场的影响。此外，申万宏源指出，中国资产再次回到具备良好性价比的估值位置，市场可能迎来重要的中长期周期低点。因此，在短期防范风险的同时，也应关注后续港股回调后的中期投资机会，以及A股产业趋势和低估反转行业轮动的机会。,短期市场需要先防范好冲击，出清基本面回落的担忧。
海陆重工是否违反信息公平披露的规定？,"['标题：海陆重工：不存在违反信息公平披露的情形\n内容：【海陆重工：不存在违反信息公平披露的情形】4月6日，海陆重工发布股票交易异常波动公告：公司股票连续三个交易日（4月1日4月2日4月3日）收盘价格涨幅偏离值累计超过20%，根据深圳证券交易所的有关规定，属于股票交易异常波动的情况。经核实，近期公司生产经营情况正常，内外部经营环境未发生重大变化。公司及控股股东、实际控制人不存在应披露而未披露的重大事项或处于筹划阶段的重大事项。经自查，公司不存在违反信息公平披露的情形。', '标题：4连板凯美特气：公司不存在违反信息公平披露的情形\n内容：【4连板凯美特气：公司不存在违反信息公平披露的情形】凯美特气(002549.SZ)发布股票交易异常波动公告称，经自查，公司不存在违反信息公平披露的情形。公司将严格按照相关法律法规的规定履行信息披露义务。']",海陆重工不存在违反信息公平披露的情形。4月6日，海陆重工发布股票交易异常波动公告，明确表示经自查，公司不存在违反信息公平披露的情况。同时，公司生产经营情况正常，内外部经营环境未发生重大变化，也不存在应披露而未披露的重大事项。,海陆重工不存在违反信息公平披露的情形。
兴证策略提出的三条主线是什么？,"['标题：兴证策略：以我为主 三条主线防守反击\n内容：【兴证策略：以我为主 三条主线防守反击】对于A股，短期关税不确定性冲击下，市场也难免出现波动。但立足中长期，我们认为当前无论是国内所处的内外部环境、潜在增量政策的储备，还是适应了上一轮贸易冲突后的出口结构优化，以及市场在心理上做好的准备、尤其是以DeepSeek为代表的科技突破对于信心的强化，均非2018年骤然遭遇贸易战时可比。', '标题：兴证全球基金拟6000万元自购旗下权益基金\n内容：【兴证全球基金拟6000万元自购旗下权益基金】兴证全球基金公告称，基于对中国资本市场长期稳定健康发展以及公司主动投资能力的信心，公司自2025年4月8日起陆续运用固有资金自购旗下权益类公募基金，自购金额合计将不少于人民币6000万元，公司承诺对上述自购产品持有期限不低于一年。']",兴证策略提出的三条主线具体内容并未在上下文中明确列出。但根据标题可以推测，这三条主线与“以我为主”的防守反击策略有关，涉及如何在短期关税不确定性冲击下进行市场布局。具体细节需要参考兴证策略的完整报告来了解三条主线的确切内容。,兴证策略提出了以我为主，通过三条主线进行防守反击的观点，但具体三条主线的内容需要进一步查阅相关报告获取详细信息。上下文中并未明确列出三条主线的具体内容。
港股4月前3个交易日中有多少只个股获得回购？,"['标题：加码！港股回购潮持续\n内容：【加码！港股回购潮持续】数据显示，4月前3个交易日（数据截至4月3日20:30），港股有58只个股获得回购。其中，腾讯控股3日共回购299.8万股，回购金额超15亿港元，是名名副其实的“回购王”。', '标题：腾讯控股：于4月10日回购133.3万股 回购金额6.01亿港元\n内容：【腾讯控股：于4月10日回购133.3万股 回购金额6.01亿港元】腾讯控股在港交所公告，于4月10日回购133.3万股，回购金额6.01亿港元，最低成交价为443.2港元，最高成交价为461.4港元。']",4月前3个交易日中，港股有58只个股获得回购。,58只个股获得回购。
A股市场表现好于预期的原因是什么？,"['标题：中信建投：A股市场表现整体好于预期 凸显市场韧性\n内容：【中信建投：A股市场表现整体好于预期 凸显市场韧性】中信建投指出，4月2日美国加征关税措施超预期，但A股市场表现整体好于预期，凸显市场韧性。反而美股暴跌，彰显“东升西降”趋势。当前市场关注点转向年报季，投资者将回归基本面，关注企业实际业绩表现。同时，鉴于全球贸易冲突升级，我国反制措施也是市场关注的焦点问题，以及影响市场走势的主线之一。总的看，市场需合理预期政策节奏，当前重点在于既有政策的落实落地。未来可考虑通过加快拉动内需、相机推出增量政策等措施，稳定市场情绪、增强市场韧性，对冲美国关税冲击。', '标题：A股低开高走：北证50指数暴涨超10% 逾4500只股票上涨\n内容：沪指涨1.31%，深证成指涨1.22%，创业板指涨0.98%，北证50指数涨10.27%。沪深京三市成交额超1.7万亿，航天航空、船舶制造、仪器仪表、航运港口、软件、计算机、半导体板块大涨。']",A股市场表现好于预期的原因在于市场展现了较强的韧性。尽管4月2日美国加征关税措施超出预期，但A股并未受到过大冲击，反而凸显了自身的稳定性。相比之下，美股出现暴跌，进一步彰显了“东升西降”的趋势。此外，当前市场关注点转向年报季，投资者开始回归基本面，更加关注企业实际业绩表现。同时，全球贸易冲突升级的情况下，我国的反制措施也成为市场关注的焦点之一，并影响市场走势。总体来看，合理预期政策节奏以及既有政策的落实落地是关键，未来通过加快拉动内需和相机推出增量政策等措施，有助于稳定市场情绪、增强市场韧性，从而对冲美国关税带来的冲击。,A股市场表现好于预期的原因在于其凸显了市场的韧性，尽管4月2日美国加征关税措施超预期，但A股市场仍表现出较强的抗压能力。
美国政府对包括我国在内的几乎所有贸易伙伴采取了什么措施？,"['标题：假期要闻汇总：我国对原产于美国的所有进口商品加征34%关税\n内容：【假期要闻汇总】中国政府发布关于反对美国滥施关税的立场；11箭齐发，中方坚决反制美“对等关税”，对原产于美国的所有进口商品加征34%关税；程序化交易规则落地，三大交易所细化监管标准，引导程序化交易规范发展；证监会召开深化资本市场投融资综合改革民营科技企业座谈会；两部门对部分中重稀土相关物项实施出口管制；全球市场抛售加剧，美股连续两日暴跌，纳指较峰值下跌20%进入熊市区域；美国3月非农就业人数增加22.8万人，大幅高于预期；特朗普宣布将再给予TikTok禁令75天宽限期，字节最新声明。', '标题：“中国商品被抢空”！美国人疯狂囤货 亿万富翁号召：从牙膏到肥皂 趁早买起来！中国电视被买断货\n内容：【“中国商品被抢空”！美国人疯狂囤货 亿万富翁号召：从牙膏到肥皂 趁早买起来！中国电视被买断货】据央视新闻报道，根据特朗普本月2日签署的关于所谓“对等关税”的行政令，美国定于5日开始对所有贸易伙伴加征10%的“最低基准关税”。对某些贸易伙伴征收更高的“对等关税”，这些措施将于9日生效。']",美国政府对包括我国在内的几乎所有贸易伙伴采取了加征关税的措施。根据特朗普签署的行政令，美国对所有贸易伙伴加征10%的“最低基准关税”，并对某些贸易伙伴征收更高的“对等关税”，这些措施分别于5日和9日生效。,美国政府对包括我国在内的几乎所有贸易伙伴出台了所谓的“对等关税”。
